 time            v(Vout+)        v(Vout-)        v(Vout+)-v(Vout-)
 0.00000000e+00  2.68748332e-07  7.28595123e-02 -7.28592436e-02 
 1.00000000e-12  2.68816130e-07  7.28595124e-02 -7.28592436e-02 
 2.00000000e-12  2.68851683e-07  7.28595124e-02 -7.28592436e-02 
 4.00000000e-12  2.68899634e-07  7.28595125e-02 -7.28592436e-02 
 8.00000000e-12  2.68911169e-07  7.28595125e-02 -7.28592436e-02 
 1.60000000e-11  2.68835529e-07  7.28595124e-02 -7.28592436e-02 
 3.20000000e-11  2.68722718e-07  7.28595123e-02 -7.28592436e-02 
 6.40000000e-11  2.68711173e-07  7.28595123e-02 -7.28592436e-02 
 1.28000000e-10  2.68758304e-07  7.28595123e-02 -7.28592436e-02 
 2.28000000e-10  2.68776099e-07  7.28595123e-02 -7.28592436e-02 
 3.28000000e-10  2.68784473e-07  7.28595123e-02 -7.28592436e-02 
 4.28000000e-10  2.68784305e-07  7.28595123e-02 -7.28592436e-02 
 5.28000000e-10  2.68783002e-07  7.28595123e-02 -7.28592436e-02 
 6.28000000e-10  2.68777272e-07  7.28595123e-02 -7.28592436e-02 
 7.28000000e-10  2.68771822e-07  7.28595123e-02 -7.28592436e-02 
 8.28000000e-10  2.68763767e-07  7.28595123e-02 -7.28592436e-02 
 9.28000000e-10  2.68754651e-07  7.28595123e-02 -7.28592436e-02 
 1.00000000e-09  2.68743719e-07  7.28595123e-02 -7.28592436e-02 
 1.01000000e-09  4.96235315e-07  7.28597398e-02 -7.28592436e-02 
 1.03000000e-09  2.66200335e-07  7.28595098e-02 -7.28592436e-02 
 1.07000000e-09  8.70897749e-08  7.28593307e-02 -7.28592436e-02 
 1.15000000e-09  3.86267357e-07  7.28596298e-02 -7.28592436e-02 
 1.25000000e-09  1.85642829e-07  7.28594292e-02 -7.28592436e-02 
 1.35000000e-09  3.69418646e-07  7.28596130e-02 -7.28592436e-02 
 1.45000000e-09  5.20138123e-07  7.28597637e-02 -7.28592436e-02 
 1.55000000e-09 -3.18028322e-07  7.28589256e-02 -7.28592436e-02 
 1.65000000e-09  2.07845428e-06  7.28613221e-02 -7.28592436e-02 
 1.75000000e-09  4.99996871e-07  7.28597438e-02 -7.28592438e-02 
 1.85000000e-09 -6.28176574e-06  7.28529620e-02 -7.28592437e-02 
 1.95000000e-09 -2.95500332e-05  7.28296920e-02 -7.28592420e-02 
 2.00000000e-09 -9.60028029e-05  7.27632365e-02 -7.28592393e-02 
 2.01000000e-09 -1.14322602e-04  7.27449157e-02 -7.28592383e-02 
 2.03000000e-09 -1.27899289e-04  7.27313367e-02 -7.28592360e-02 
 2.07000000e-09  2.40908061e-04  7.31001400e-02 -7.28592319e-02 
 2.15000000e-09  3.89279007e-03  7.67521251e-02 -7.28593350e-02 
 2.25000000e-09  8.63619879e-03  8.14962410e-02 -7.28600423e-02 
 2.35000000e-09  8.59267407e-03  8.14543693e-02 -7.28616952e-02 
 2.45000000e-09  6.03999477e-03  7.89042667e-02 -7.28642720e-02 
 2.55000000e-09  8.74398436e-04  7.37421356e-02 -7.28677372e-02 
 2.65000000e-09 -7.51160840e-03  6.53607524e-02 -7.28723608e-02 
 2.75000000e-09 -9.55427611e-03  6.33241155e-02 -7.28783916e-02 
 2.85000000e-09 -6.56068352e-03  6.63247845e-02 -7.28854680e-02 
 2.95000000e-09 -4.67263948e-03  6.82202079e-02 -7.28928474e-02 
 3.05000000e-09 -3.26316507e-03  6.96368649e-02 -7.29000299e-02 
 3.15000000e-09 -2.24775514e-03  7.06590511e-02 -7.29068062e-02 
 3.25000000e-09 -1.49728926e-03  7.14157983e-02 -7.29130876e-02 
 3.35000000e-09 -9.55653069e-04  7.19631887e-02 -7.29188418e-02 
 3.45000000e-09 -5.54043055e-04  7.23700195e-02 -7.29240626e-02 
 3.55000000e-09 -2.70345003e-04  7.26584104e-02 -7.29287554e-02 
 3.65000000e-09 -6.04906035e-05  7.28724407e-02 -7.29329313e-02 
 3.75000000e-09  8.06400857e-05  7.30172435e-02 -7.29366034e-02 
 3.85000000e-09  1.84381594e-04  7.31241672e-02 -7.29397856e-02 
 3.95000000e-09  2.46904106e-04  7.31893960e-02 -7.29424919e-02 
 4.05000000e-09  2.92473977e-04  7.32372100e-02 -7.29447361e-02 
 4.15000000e-09  3.12387877e-04  7.32589193e-02 -7.29465314e-02 
 4.25000000e-09  3.26835892e-04  7.32747268e-02 -7.29478909e-02 
 4.35000000e-09  3.24450649e-04  7.32732775e-02 -7.29488269e-02 
 4.45000000e-09  3.23007850e-04  7.32723593e-02 -7.29493514e-02 
 4.55000000e-09  3.09713848e-04  7.32591899e-02 -7.29494761e-02 
 4.65000000e-09  3.00873989e-04  7.32500859e-02 -7.29492119e-02 
 4.75000000e-09  2.82972545e-04  7.32315422e-02 -7.29485697e-02 
 4.85000000e-09  2.71387662e-04  7.32189475e-02 -7.29475598e-02 
 4.95000000e-09  2.52281915e-04  7.31984742e-02 -7.29461922e-02 
 5.05000000e-09  2.40421252e-04  7.31848979e-02 -7.29444767e-02 
 5.15000000e-09  2.21874398e-04  7.31642969e-02 -7.29424225e-02 
 5.25000000e-09  2.10977912e-04  7.31510166e-02 -7.29400387e-02 
 5.35000000e-09  1.93835505e-04  7.31311695e-02 -7.29373340e-02 
 5.45000000e-09  1.84460776e-04  7.31187778e-02 -7.29343170e-02 
 5.55000000e-09  1.69064168e-04  7.31000601e-02 -7.29309959e-02 
 5.65000000e-09  1.61398587e-04  7.30887772e-02 -7.29273787e-02 
 5.75000000e-09  1.47820142e-04  7.30712932e-02 -7.29234730e-02 
 5.85000000e-09  1.41857910e-04  7.30611444e-02 -7.29192865e-02 
 5.95000000e-09  1.30033517e-04  7.30448599e-02 -7.29148263e-02 
 6.00000000e-09  1.29403622e-04  7.30418993e-02 -7.29124957e-02 
 6.01000000e-09  1.26677894e-04  7.30386982e-02 -7.29120203e-02 
 6.03000000e-09  1.25353629e-04  7.30364180e-02 -7.29110643e-02 
 6.07000000e-09  1.22958516e-04  7.30320796e-02 -7.29091211e-02 
 6.15000000e-09  1.17095121e-04  7.30222066e-02 -7.29051114e-02 
 6.25000000e-09  1.11228823e-04  7.30111011e-02 -7.28998723e-02 
 6.35000000e-09  1.05551624e-04  7.29999384e-02 -7.28943867e-02 
 6.45000000e-09  1.00700709e-04  7.29893618e-02 -7.28886611e-02 
 6.55000000e-09  9.59238262e-05  7.29786252e-02 -7.28827013e-02 
 6.65000000e-09  9.25048204e-05  7.29690184e-02 -7.28765136e-02 
 6.75000000e-09  8.95238622e-05  7.29596274e-02 -7.28701036e-02 
 6.85000000e-09  8.72558853e-05  7.29507330e-02 -7.28634771e-02 
 6.95000000e-09  8.53605021e-05  7.29420002e-02 -7.28566397e-02 
 7.00000000e-09  8.44729116e-05  7.29376163e-02 -7.28531434e-02 
 7.01000000e-09  8.45332457e-05  7.29369702e-02 -7.28524370e-02 
 7.03000000e-09  8.40263282e-05  7.29350465e-02 -7.28510202e-02 
 7.07000000e-09  8.33129313e-05  7.29314754e-02 -7.28481625e-02 
