 time            v(Vout+)        v(Vout-)        v(vout+)-v(vout-)
 0.00000000e+00  1.41925150e-05  1.64178335e+00 -1.64176915e+00 
 1.00000000e-12  1.41920082e-05  1.64178335e+00 -1.64176915e+00 
 2.00000000e-12  1.41915625e-05  1.64178334e+00 -1.64176915e+00 
 4.00000000e-12  1.41906418e-05  1.64178334e+00 -1.64176915e+00 
 8.00000000e-12  1.41886497e-05  1.64178334e+00 -1.64176915e+00 
 1.60000000e-11  1.41843649e-05  1.64178334e+00 -1.64176915e+00 
 3.20000000e-11  1.41755922e-05  1.64178333e+00 -1.64176915e+00 
 6.40000000e-11  1.41594908e-05  1.64178331e+00 -1.64176915e+00 
 1.28000000e-10  1.41343701e-05  1.64178329e+00 -1.64176915e+00 
 2.28000000e-10  1.41074780e-05  1.64178326e+00 -1.64176915e+00 
 3.28000000e-10  1.40886633e-05  1.64178324e+00 -1.64176915e+00 
 4.28000000e-10  1.40741226e-05  1.64178323e+00 -1.64176915e+00 
 5.28000000e-10  1.40623344e-05  1.64178321e+00 -1.64176915e+00 
 6.28000000e-10  1.40525730e-05  1.64178320e+00 -1.64176915e+00 
 7.28000000e-10  1.40443733e-05  1.64178320e+00 -1.64176915e+00 
 8.28000000e-10  1.40374365e-05  1.64178319e+00 -1.64176915e+00 
 9.28000000e-10  1.40314895e-05  1.64178318e+00 -1.64176915e+00 
 1.00000000e-09  1.40277029e-05  1.64178318e+00 -1.64176915e+00 
 1.01000000e-09  1.41465843e-05  1.64178330e+00 -1.64176915e+00 
 1.03000000e-09  1.40287470e-05  1.64178318e+00 -1.64176915e+00 
 1.07000000e-09  1.39417346e-05  1.64178309e+00 -1.64176915e+00 
 1.15000000e-09  1.40804649e-05  1.64178323e+00 -1.64176915e+00 
 1.25000000e-09  1.39687877e-05  1.64178312e+00 -1.64176915e+00 
 1.35000000e-09  1.40762832e-05  1.64178323e+00 -1.64176915e+00 
 1.45000000e-09  1.41709126e-05  1.64178332e+00 -1.64176915e+00 
 1.55000000e-09  1.38059329e-05  1.64178295e+00 -1.64176915e+00 
 1.65000000e-09  1.50750153e-05  1.64178422e+00 -1.64176915e+00 
 1.75000000e-09  1.48039122e-05  1.64178395e+00 -1.64176915e+00 
 1.85000000e-09  1.05858396e-05  1.64177973e+00 -1.64176915e+00 
 1.95000000e-09 -6.37357448e-06  1.64176277e+00 -1.64176914e+00 
 2.00000000e-09 -4.72132521e-05  1.64172192e+00 -1.64176914e+00 
 2.01000000e-09 -5.77283832e-05  1.64171141e+00 -1.64176914e+00 
 2.03000000e-09 -6.58436462e-05  1.64170329e+00 -1.64176913e+00 
 2.07000000e-09  1.13581184e-04  1.64188270e+00 -1.64176912e+00 
 2.15000000e-09  2.01059696e-03  1.64377986e+00 -1.64176926e+00 
 2.25000000e-09  5.58228272e-03  1.64735279e+00 -1.64177051e+00 
 2.35000000e-09  8.15664359e-03  1.64993083e+00 -1.64177419e+00 
 2.45000000e-09  1.01086186e-02  1.65189002e+00 -1.64178140e+00 
 2.55000000e-09  1.12082874e-02  1.65300113e+00 -1.64179285e+00 
 2.65000000e-09  1.12219318e-02  1.65303071e+00 -1.64180878e+00 
 2.75000000e-09  1.03144725e-02  1.65214366e+00 -1.64182919e+00 
 2.85000000e-09  7.02742737e-03  1.64888161e+00 -1.64185419e+00 
 2.95000000e-09 -8.79621459e-04  1.64100523e+00 -1.64188486e+00 
 3.05000000e-09  5.28629922e-03  1.64720818e+00 -1.64192188e+00 
 3.15000000e-09  2.57502174e-02  1.66771180e+00 -1.64196158e+00 
 3.25000000e-09  4.04523977e-02  1.68244863e+00 -1.64199623e+00 
 3.35000000e-09  4.65606087e-02  1.68857983e+00 -1.64201922e+00 
 3.45000000e-09  5.00665637e-02  1.69209392e+00 -1.64202736e+00 
 3.55000000e-09  5.27208873e-02  1.69474023e+00 -1.64201935e+00 
 3.65000000e-09  5.48243114e-02  1.69681885e+00 -1.64199454e+00 
 3.75000000e-09  5.65576161e-02  1.69851023e+00 -1.64195262e+00 
 3.85000000e-09  5.79997085e-02  1.69989320e+00 -1.64189349e+00 
 3.95000000e-09  5.92321111e-02  1.70104932e+00 -1.64181721e+00 
 4.05000000e-09  6.02836174e-02  1.70200758e+00 -1.64172396e+00 
 4.15000000e-09  6.12029774e-02  1.70281699e+00 -1.64161401e+00 
 4.25000000e-09  6.19996233e-02  1.70348731e+00 -1.64148769e+00 
 4.35000000e-09  6.27079300e-02  1.70405331e+00 -1.64134538e+00 
 4.45000000e-09  6.33280852e-02  1.70451558e+00 -1.64118750e+00 
 4.55000000e-09  6.38870396e-02  1.70490155e+00 -1.64101451e+00 
 4.65000000e-09  6.43800191e-02  1.70520689e+00 -1.64082687e+00 
 4.75000000e-09  6.48296938e-02  1.70545478e+00 -1.64062508e+00 
 4.85000000e-09  6.52284207e-02  1.70563806e+00 -1.64040964e+00 
 4.95000000e-09  6.55961910e-02  1.70577723e+00 -1.64018104e+00 
 5.05000000e-09  6.59236176e-02  1.70586341e+00 -1.63993979e+00 
 5.15000000e-09  6.62289032e-02  1.70591531e+00 -1.63968641e+00 
 5.25000000e-09  6.65015643e-02  1.70592294e+00 -1.63942138e+00 
 5.35000000e-09  6.67585459e-02  1.70590376e+00 -1.63914521e+00 
 5.45000000e-09  6.69886612e-02  1.70584706e+00 -1.63885840e+00 
 5.55000000e-09  6.72079304e-02  1.70576935e+00 -1.63856142e+00 
 5.65000000e-09  6.74047136e-02  1.70565946e+00 -1.63825474e+00 
 5.75000000e-09  6.75943253e-02  1.70553318e+00 -1.63793885e+00 
 5.85000000e-09  6.77648364e-02  1.70537903e+00 -1.63761419e+00 
 5.95000000e-09  6.79310051e-02  1.70521221e+00 -1.63728121e+00 
 6.00000000e-09  6.80053435e-02  1.70511706e+00 -1.63711172e+00 
 6.01000000e-09  6.80219773e-02  1.70509953e+00 -1.63707755e+00 
 6.03000000e-09  6.80523415e-02  1.70506140e+00 -1.63700906e+00 
 6.07000000e-09  6.81118916e-02  1.70498308e+00 -1.63687118e+00 
 6.15000000e-09  6.82264746e-02  1.70481840e+00 -1.63659193e+00 
 6.25000000e-09  6.83630817e-02  1.70459963e+00 -1.63623655e+00 
 6.35000000e-09  6.84925677e-02  1.70436708e+00 -1.63587451e+00 
 6.45000000e-09  6.86160027e-02  1.70412222e+00 -1.63550622e+00 
 6.55000000e-09  6.87338423e-02  1.70386588e+00 -1.63513203e+00 
 6.65000000e-09  6.88468387e-02  1.70359917e+00 -1.63475233e+00 
 6.75000000e-09  6.89553889e-02  1.70332284e+00 -1.63436745e+00 
 6.85000000e-09  6.90600579e-02  1.70303781e+00 -1.63397775e+00 
 6.95000000e-09  6.91613373e-02  1.70274488e+00 -1.63358355e+00 
 7.00000000e-09  6.92107143e-02  1.70259556e+00 -1.63338485e+00 
 7.01000000e-09  6.92206411e-02  1.70256561e+00 -1.63334497e+00 
 7.03000000e-09  6.92400602e-02  1.70250518e+00 -1.63326512e+00 
 7.07000000e-09  6.92786979e-02  1.70238367e+00 -1.63310497e+00 
 7.15000000e-09  6.93550257e-02  1.70213789e+00 -1.63278286e+00 
 7.25000000e-09  6.94480521e-02  1.70182508e+00 -1.63237703e+00 
 7.35000000e-09  6.95391578e-02  1.70150707e+00 -1.63196791e+00 
 7.45000000e-09  6.96282659e-02  1.70118404e+00 -1.63155578e+00 
 7.55000000e-09  6.97158825e-02  1.70085677e+00 -1.63114089e+00 
 7.65000000e-09  6.98019867e-02  1.70052549e+00 -1.63072350e+00 
 7.75000000e-09  6.98869517e-02  1.70019082e+00 -1.63030387e+00 
 7.85000000e-09  6.99707905e-02  1.69985301e+00 -1.62988221e+00 
 7.95000000e-09  7.00537815e-02  1.69951255e+00 -1.62945877e+00 
 8.05000000e-09  7.01359543e-02  1.69916971e+00 -1.62903375e+00 
 8.15000000e-09  7.02175182e-02  1.69882488e+00 -1.62860737e+00 
 8.25000000e-09  7.02985098e-02  1.69847832e+00 -1.62817981e+00 
 8.35000000e-09  7.03790869e-02  1.69813037e+00 -1.62775128e+00 
 8.45000000e-09  7.04592873e-02  1.69778125e+00 -1.62732196e+00 
 8.55000000e-09  7.05392304e-02  1.69743124e+00 -1.62689201e+00 
 8.65000000e-09  7.06189518e-02  1.69708057e+00 -1.62646162e+00 
 8.75000000e-09  7.06985419e-02  1.69672947e+00 -1.62603093e+00 
 8.85000000e-09  7.07780322e-02  1.69637813e+00 -1.62560010e+00 
 8.95000000e-09  7.08574911e-02  1.69602676e+00 -1.62516927e+00 
 9.05000000e-09  7.09369454e-02  1.69567554e+00 -1.62473859e+00 
 9.15000000e-09  7.10164461e-02  1.69532463e+00 -1.62430819e+00 
 9.25000000e-09  7.10960152e-02  1.69497420e+00 -1.62387819e+00 
 9.35000000e-09  7.11756905e-02  1.69462440e+00 -1.62344871e+00 
 9.45000000e-09  7.12554893e-02  1.69427535e+00 -1.62301987e+00 
 9.55000000e-09  7.13354389e-02  1.69392721e+00 -1.62259177e+00 
 9.65000000e-09  7.14155524e-02  1.69358007e+00 -1.62216452e+00 
 9.75000000e-09  7.14958485e-02  1.69323406e+00 -1.62173822e+00 
 9.85000000e-09  7.15763368e-02  1.69288929e+00 -1.62131295e+00 
 9.95000000e-09  7.16570295e-02  1.69254584e+00 -1.62088881e+00 
 1.00500000e-08  7.17379324e-02  1.69220382e+00 -1.62046588e+00 
 1.01500000e-08  7.18190529e-02  1.69186330e+00 -1.62004424e+00 
 1.02500000e-08  7.19003939e-02  1.69152436e+00 -1.61962396e+00 
 1.03500000e-08  7.19819585e-02  1.69118708e+00 -1.61920512e+00 
 1.04500000e-08  7.20637473e-02  1.69085152e+00 -1.61878777e+00 
 1.05500000e-08  7.21457601e-02  1.69051774e+00 -1.61837198e+00 
 1.06500000e-08  7.22279954e-02  1.69018581e+00 -1.61795781e+00 
 1.07500000e-08  7.23104504e-02  1.68985577e+00 -1.61754532e+00 
 1.08500000e-08  7.23931221e-02  1.68952767e+00 -1.61713454e+00 
