 time            v(Vout+)        v(Vout-)        v(vout+)-v(vout-)
 0.00000000e+00  2.69032864e-07  7.68669576e-02 -7.68666885e-02 
 1.00000000e-12  2.69090476e-07  7.68669576e-02 -7.68666885e-02 
 2.00000000e-12  2.69120941e-07  7.68669577e-02 -7.68666885e-02 
 4.00000000e-12  2.69162060e-07  7.68669577e-02 -7.68666885e-02 
 8.00000000e-12  2.69172502e-07  7.68669577e-02 -7.68666885e-02 
 1.60000000e-11  2.69108416e-07  7.68669576e-02 -7.68666885e-02 
 3.20000000e-11  2.69013153e-07  7.68669576e-02 -7.68666885e-02 
 6.40000000e-11  2.69007502e-07  7.68669575e-02 -7.68666885e-02 
 1.28000000e-10  2.69051058e-07  7.68669576e-02 -7.68666885e-02 
 2.28000000e-10  2.69049759e-07  7.68669576e-02 -7.68666885e-02 
 3.28000000e-10  2.69026138e-07  7.68669576e-02 -7.68666885e-02 
 4.28000000e-10  2.69002774e-07  7.68669575e-02 -7.68666885e-02 
 5.28000000e-10  2.68986307e-07  7.68669575e-02 -7.68666885e-02 
 6.28000000e-10  2.68969024e-07  7.68669575e-02 -7.68666885e-02 
 7.28000000e-10  2.68952919e-07  7.68669575e-02 -7.68666885e-02 
 8.28000000e-10  2.68939181e-07  7.68669575e-02 -7.68666885e-02 
 9.28000000e-10  2.68926938e-07  7.68669575e-02 -7.68666885e-02 
 1.00000000e-09  2.68921107e-07  7.68669575e-02 -7.68666885e-02 
 1.01000000e-09  4.98626366e-07  7.68671872e-02 -7.68666885e-02 
 1.03000000e-09  2.66074028e-07  7.68669546e-02 -7.68666885e-02 
 1.07000000e-09  8.48750688e-08  7.68667734e-02 -7.68666885e-02 
 1.15000000e-09  3.88315621e-07  7.68670769e-02 -7.68666885e-02 
 1.25000000e-09  1.84539908e-07  7.68668731e-02 -7.68666885e-02 
 1.35000000e-09  3.70299993e-07  7.68670588e-02 -7.68666885e-02 
 1.45000000e-09  5.19042786e-07  7.68672076e-02 -7.68666886e-02 
 1.55000000e-09 -3.37605068e-07  7.68663510e-02 -7.68666886e-02 
 1.65000000e-09  2.03669955e-06  7.68687253e-02 -7.68666886e-02 
 1.75000000e-09  3.50738578e-07  7.68670395e-02 -7.68666887e-02 
 1.85000000e-09 -5.85774900e-06  7.68608309e-02 -7.68666887e-02 
 1.95000000e-09 -3.49547617e-05  7.68317320e-02 -7.68666868e-02 
 2.00000000e-09 -1.06676337e-04  7.67600074e-02 -7.68666837e-02 
 2.01000000e-09 -1.22215770e-04  7.67444668e-02 -7.68666826e-02 
 2.03000000e-09 -1.15639411e-04  7.67510407e-02 -7.68666801e-02 
 2.07000000e-09  4.31787671e-04  7.72984648e-02 -7.68666771e-02 
 2.15000000e-09  4.63491054e-03  8.15017194e-02 -7.68668089e-02 
 2.25000000e-09  8.97247844e-03  8.58400902e-02 -7.68676118e-02 
 2.35000000e-09  8.40706927e-03  8.52764600e-02 -7.68693907e-02 
 2.45000000e-09  5.25287999e-03  8.21249847e-02 -7.68721047e-02 
 2.55000000e-09 -7.62842694e-04  7.61129268e-02 -7.68757695e-02 
 2.65000000e-09 -9.23530368e-03  6.76454054e-02 -7.68807091e-02 
 2.75000000e-09 -8.77374741e-03  6.81133245e-02 -7.68870719e-02 
 2.85000000e-09 -5.95189747e-03  7.09424186e-02 -7.68943161e-02 
 2.95000000e-09 -4.19905474e-03  7.27026373e-02 -7.69016921e-02 
 3.05000000e-09 -2.87351123e-03  7.40352718e-02 -7.69087830e-02 
 3.15000000e-09 -1.93631850e-03  7.49790975e-02 -7.69154160e-02 
 3.25000000e-09 -1.23351060e-03  7.56880088e-02 -7.69215194e-02 
 3.35000000e-09 -7.42946302e-04  7.61841230e-02 -7.69270693e-02 
 3.45000000e-09 -3.69328588e-04  7.65627354e-02 -7.69320640e-02 
 3.55000000e-09 -1.21466722e-04  7.68150450e-02 -7.69365118e-02 
 3.65000000e-09  7.20407683e-05  7.70124659e-02 -7.69404251e-02 
 3.75000000e-09  1.86751826e-04  7.71305704e-02 -7.69438186e-02 
 3.85000000e-09  2.81463182e-04  7.72281703e-02 -7.69467072e-02 
 3.95000000e-09  3.23675929e-04  7.72727815e-02 -7.69491056e-02 
 4.05000000e-09  3.64966575e-04  7.73159951e-02 -7.69510285e-02 
 4.15000000e-09  3.68658866e-04  7.73211487e-02 -7.69524898e-02 
 4.25000000e-09  3.81978525e-04  7.73354817e-02 -7.69535031e-02 
 4.35000000e-09  3.66175863e-04  7.73202573e-02 -7.69540814e-02 
 4.45000000e-09  3.65727860e-04  7.73199650e-02 -7.69542372e-02 
 4.55000000e-09  3.40985621e-04  7.72949680e-02 -7.69539824e-02 
 4.65000000e-09  3.34590646e-04  7.72879194e-02 -7.69533287e-02 
 4.75000000e-09  3.06655912e-04  7.72589431e-02 -7.69522872e-02 
 4.85000000e-09  2.98516817e-04  7.72493855e-02 -7.69508687e-02 
 4.95000000e-09  2.70418344e-04  7.72195017e-02 -7.69490834e-02 
 5.05000000e-09  2.62699198e-04  7.72096406e-02 -7.69469415e-02 
 5.15000000e-09  2.35945769e-04  7.71803982e-02 -7.69444525e-02 
 5.25000000e-09  2.29674658e-04  7.71713005e-02 -7.69416258e-02 
 5.35000000e-09  2.04931974e-04  7.71434025e-02 -7.69384705e-02 
 5.45000000e-09  2.00520086e-04  7.71355154e-02 -7.69349953e-02 
 5.55000000e-09  1.78000990e-04  7.71092096e-02 -7.69312086e-02 
 5.65000000e-09  1.75531751e-04  7.71026505e-02 -7.69271188e-02 
 5.75000000e-09  1.55215418e-04  7.70779491e-02 -7.69227336e-02 
 5.85000000e-09  1.54607921e-04  7.70726689e-02 -7.69180610e-02 
 5.95000000e-09  1.36361553e-04  7.70494698e-02 -7.69131083e-02 
 6.00000000e-09  1.41363800e-04  7.70518928e-02 -7.69105290e-02 
 6.01000000e-09  1.35752189e-04  7.70457558e-02 -7.69100036e-02 
 6.03000000e-09  1.34243538e-04  7.70431912e-02 -7.69089476e-02 
 6.07000000e-09  1.31802750e-04  7.70386064e-02 -7.69068037e-02 
 6.15000000e-09  1.25570252e-04  7.70279598e-02 -7.69023896e-02 
 6.25000000e-09  1.19538599e-04  7.70161782e-02 -7.68966396e-02 
 6.35000000e-09  1.13562841e-04  7.70042004e-02 -7.68906375e-02 
 6.45000000e-09  1.08733659e-04  7.69931234e-02 -7.68843897e-02 
 6.55000000e-09  1.03786501e-04  7.69816890e-02 -7.68779025e-02 
 6.65000000e-09  1.00386514e-04  7.69715685e-02 -7.68711820e-02 
 6.75000000e-09  9.72693438e-05  7.69615034e-02 -7.68642341e-02 
 6.85000000e-09  9.51334888e-05  7.69521982e-02 -7.68570647e-02 
 6.95000000e-09  9.31986526e-05  7.69428782e-02 -7.68496796e-02 
 7.00000000e-09  9.24656895e-05  7.69383733e-02 -7.68459077e-02 
 7.01000000e-09  9.24873548e-05  7.69376333e-02 -7.68451460e-02 
 7.03000000e-09  9.19926906e-05  7.69356112e-02 -7.68436185e-02 
 7.07000000e-09  9.13197868e-05  7.69318587e-02 -7.68405389e-02 
 7.15000000e-09  9.08037627e-05  7.69250861e-02 -7.68342823e-02 
 7.25000000e-09  9.00556890e-05  7.69163380e-02 -7.68262823e-02 
