 time            v(Voutp)-v(Voutn)
 0.00000000e+00 -1.45391826e+00 
 1.00000000e-12 -1.45391826e+00 
 2.00000000e-12 -1.45391826e+00 
 4.00000000e-12 -1.45391826e+00 
 8.00000000e-12 -1.45391826e+00 
 1.60000000e-11 -1.45391826e+00 
 3.20000000e-11 -1.45391826e+00 
 6.40000000e-11 -1.45391826e+00 
 1.28000000e-10 -1.45391826e+00 
 2.28000000e-10 -1.45391826e+00 
 3.28000000e-10 -1.45391826e+00 
 4.28000000e-10 -1.45391826e+00 
 5.28000000e-10 -1.45391826e+00 
 6.28000000e-10 -1.45391826e+00 
 7.28000000e-10 -1.45391827e+00 
 8.28000000e-10 -1.45391827e+00 
 9.28000000e-10 -1.45391827e+00 
 1.00000000e-09 -1.45391828e+00 
 1.01000000e-09 -1.45391828e+00 
 1.03000000e-09 -1.45391828e+00 
 1.07000000e-09 -1.45391828e+00 
 1.15000000e-09 -1.45391828e+00 
 1.25000000e-09 -1.45391829e+00 
 1.35000000e-09 -1.45391830e+00 
 1.45000000e-09 -1.45391830e+00 
 1.55000000e-09 -1.45391831e+00 
 1.65000000e-09 -1.45391832e+00 
 1.75000000e-09 -1.45391833e+00 
 1.85000000e-09 -1.45391834e+00 
 1.95000000e-09 -1.45391835e+00 
 2.00000000e-09 -1.45391835e+00 
 2.01000000e-09 -1.45391835e+00 
 2.03000000e-09 -1.45391835e+00 
 2.07000000e-09 -1.45391834e+00 
 2.15000000e-09 -1.45391845e+00 
 2.25000000e-09 -1.45391963e+00 
 2.35000000e-09 -1.45392330e+00 
 2.45000000e-09 -1.45393053e+00 
 2.55000000e-09 -1.45394160e+00 
 2.65000000e-09 -1.45395636e+00 
 2.75000000e-09 -1.45397482e+00 
 2.85000000e-09 -1.45399796e+00 
 2.95000000e-09 -1.45402765e+00 
 3.05000000e-09 -1.45406374e+00 
 3.15000000e-09 -1.45410228e+00 
 3.25000000e-09 -1.45413852e+00 
 3.35000000e-09 -1.45416953e+00 
 3.45000000e-09 -1.45419393e+00 
 3.55000000e-09 -1.45421091e+00 
 3.65000000e-09 -1.45421995e+00 
 3.75000000e-09 -1.45422076e+00 
 3.85000000e-09 -1.45421314e+00 
 3.95000000e-09 -1.45419700e+00 
 4.05000000e-09 -1.45417232e+00 
 4.15000000e-09 -1.45413913e+00 
 4.25000000e-09 -1.45409752e+00 
 4.35000000e-09 -1.45404758e+00 
 4.45000000e-09 -1.45398946e+00 
 4.55000000e-09 -1.45392330e+00 
 4.65000000e-09 -1.45384927e+00 
 4.75000000e-09 -1.45376756e+00 
 4.85000000e-09 -1.45367836e+00 
 4.95000000e-09 -1.45358187e+00 
 5.05000000e-09 -1.45347828e+00 
 5.15000000e-09 -1.45336780e+00 
 5.25000000e-09 -1.45325065e+00 
 5.35000000e-09 -1.45312703e+00 
 5.45000000e-09 -1.45299715e+00 
 5.55000000e-09 -1.45286122e+00 
 5.65000000e-09 -1.45271945e+00 
 5.75000000e-09 -1.45257204e+00 
 5.85000000e-09 -1.45241919e+00 
 5.95000000e-09 -1.45226111e+00 
 6.00000000e-09 -1.45218017e+00 
 6.01000000e-09 -1.45216380e+00 
 6.03000000e-09 -1.45213098e+00 
 6.07000000e-09 -1.45206475e+00 
 6.15000000e-09 -1.45192999e+00 
 6.25000000e-09 -1.45175737e+00 
 6.35000000e-09 -1.45158028e+00 
 6.45000000e-09 -1.45139890e+00 
 6.55000000e-09 -1.45121341e+00 
 6.65000000e-09 -1.45102398e+00 
 6.75000000e-09 -1.45083077e+00 
 6.85000000e-09 -1.45063396e+00 
 6.95000000e-09 -1.45043370e+00 
 7.00000000e-09 -1.45033232e+00 
 7.01000000e-09 -1.45031193e+00 
 7.03000000e-09 -1.45027109e+00 
 7.07000000e-09 -1.45018903e+00 
 7.15000000e-09 -1.45002342e+00 
 7.25000000e-09 -1.44981373e+00 
 7.35000000e-09 -1.44960119e+00 
 7.45000000e-09 -1.44938594e+00 
 7.55000000e-09 -1.44916810e+00 
 7.65000000e-09 -1.44894781e+00 
 7.75000000e-09 -1.44872519e+00 
 7.85000000e-09 -1.44850037e+00 
 7.95000000e-09 -1.44827346e+00 
 8.05000000e-09 -1.44804458e+00 
