 time            v(Voutp)-v(Voutn)
 0.00000000e+00 -1.55487179e+00 
 1.00000000e-12 -1.55487179e+00 
 2.00000000e-12 -1.55487179e+00 
 4.00000000e-12 -1.55487179e+00 
 8.00000000e-12 -1.55487179e+00 
 1.60000000e-11 -1.55487179e+00 
 3.20000000e-11 -1.55487179e+00 
 6.40000000e-11 -1.55487179e+00 
 1.28000000e-10 -1.55487179e+00 
 2.28000000e-10 -1.55487179e+00 
 3.28000000e-10 -1.55487179e+00 
 4.28000000e-10 -1.55487179e+00 
 5.28000000e-10 -1.55487179e+00 
 6.28000000e-10 -1.55487179e+00 
 7.28000000e-10 -1.55487179e+00 
 8.28000000e-10 -1.55487179e+00 
 9.28000000e-10 -1.55487179e+00 
 1.00000000e-09 -1.55487179e+00 
 1.01000000e-09 -1.55487179e+00 
 1.03000000e-09 -1.55487179e+00 
 1.07000000e-09 -1.55487179e+00 
 1.15000000e-09 -1.55487179e+00 
 1.25000000e-09 -1.55487179e+00 
 1.35000000e-09 -1.55487179e+00 
 1.45000000e-09 -1.55487179e+00 
 1.55000000e-09 -1.55487179e+00 
 1.65000000e-09 -1.55487179e+00 
 1.75000000e-09 -1.55487179e+00 
 1.85000000e-09 -1.55487179e+00 
 1.95000000e-09 -1.55487179e+00 
 2.00000000e-09 -1.55487178e+00 
 2.01000000e-09 -1.55487178e+00 
 2.03000000e-09 -1.55487178e+00 
 2.07000000e-09 -1.55487176e+00 
 2.15000000e-09 -1.55487191e+00 
 2.25000000e-09 -1.55487327e+00 
 2.35000000e-09 -1.55487724e+00 
 2.45000000e-09 -1.55488496e+00 
 2.55000000e-09 -1.55489698e+00 
 2.65000000e-09 -1.55491340e+00 
 2.75000000e-09 -1.55493411e+00 
 2.85000000e-09 -1.55495938e+00 
 2.95000000e-09 -1.55499064e+00 
 3.05000000e-09 -1.55502907e+00 
 3.15000000e-09 -1.55507205e+00 
 3.25000000e-09 -1.55511391e+00 
 3.35000000e-09 -1.55515004e+00 
 3.45000000e-09 -1.55517812e+00 
 3.55000000e-09 -1.55519706e+00 
 3.65000000e-09 -1.55520618e+00 
 3.75000000e-09 -1.55520508e+00 
 3.85000000e-09 -1.55519351e+00 
 3.95000000e-09 -1.55517136e+00 
 4.05000000e-09 -1.55513859e+00 
 4.15000000e-09 -1.55509526e+00 
 4.25000000e-09 -1.55504145e+00 
 4.35000000e-09 -1.55497731e+00 
 4.45000000e-09 -1.55490299e+00 
 4.55000000e-09 -1.55481871e+00 
 4.65000000e-09 -1.55472467e+00 
 4.75000000e-09 -1.55462111e+00 
 4.85000000e-09 -1.55450827e+00 
 4.95000000e-09 -1.55438641e+00 
 5.05000000e-09 -1.55425580e+00 
 5.15000000e-09 -1.55411669e+00 
 5.25000000e-09 -1.55396937e+00 
 5.35000000e-09 -1.55381410e+00 
 5.45000000e-09 -1.55365115e+00 
 5.55000000e-09 -1.55348081e+00 
 5.65000000e-09 -1.55330333e+00 
 5.75000000e-09 -1.55311898e+00 
 5.85000000e-09 -1.55292804e+00 
 5.95000000e-09 -1.55273076e+00 
 6.00000000e-09 -1.55262982e+00 
 6.01000000e-09 -1.55260942e+00 
 6.03000000e-09 -1.55256851e+00 
 6.07000000e-09 -1.55248598e+00 
 6.15000000e-09 -1.55231817e+00 
 6.25000000e-09 -1.55210341e+00 
 6.35000000e-09 -1.55188331e+00 
 6.45000000e-09 -1.55165812e+00 
 6.55000000e-09 -1.55142806e+00 
 6.65000000e-09 -1.55119336e+00 
 6.75000000e-09 -1.55095425e+00 
 6.85000000e-09 -1.55071093e+00 
 6.95000000e-09 -1.55046362e+00 
 7.00000000e-09 -1.55033853e+00 
 7.01000000e-09 -1.55031338e+00 
 7.03000000e-09 -1.55026301e+00 
 7.07000000e-09 -1.55016183e+00 
 7.15000000e-09 -1.54995780e+00 
 7.25000000e-09 -1.54969971e+00 
 7.35000000e-09 -1.54943841e+00 
 7.45000000e-09 -1.54917408e+00 
 7.55000000e-09 -1.54890689e+00 
 7.65000000e-09 -1.54863701e+00 
 7.75000000e-09 -1.54836461e+00 
 7.85000000e-09 -1.54808985e+00 
 7.95000000e-09 -1.54781287e+00 
 8.05000000e-09 -1.54753383e+00 
 8.15000000e-09 -1.54725286e+00 
 8.25000000e-09 -1.54697011e+00 
 8.35000000e-09 -1.54668571e+00 
 8.45000000e-09 -1.54639978e+00 
 8.55000000e-09 -1.54611245e+00 
 8.65000000e-09 -1.54582384e+00 
 8.75000000e-09 -1.54553406e+00 
 8.85000000e-09 -1.54524322e+00 
 8.95000000e-09 -1.54495142e+00 
 9.05000000e-09 -1.54465878e+00 
 9.15000000e-09 -1.54436537e+00 
 9.25000000e-09 -1.54407131e+00 
 9.35000000e-09 -1.54377667e+00 
 9.45000000e-09 -1.54348154e+00 
 9.55000000e-09 -1.54318601e+00 
 9.65000000e-09 -1.54289015e+00 
 9.75000000e-09 -1.54259404e+00 
 9.85000000e-09 -1.54229776e+00 
 9.95000000e-09 -1.54200136e+00 
 1.00500000e-08 -1.54170491e+00 
 1.01500000e-08 -1.54140849e+00 
 1.02500000e-08 -1.54111214e+00 
 1.03500000e-08 -1.54081592e+00 
 1.04500000e-08 -1.54051990e+00 
 1.05500000e-08 -1.54022412e+00 
 1.06500000e-08 -1.53992863e+00 
 1.07500000e-08 -1.53963347e+00 
 1.08500000e-08 -1.53933870e+00 
 1.09500000e-08 -1.53904436e+00 
 1.10000000e-08 -1.53889736e+00 
 1.10100000e-08 -1.53886797e+00 
 1.10300000e-08 -1.53880921e+00 
 1.10700000e-08 -1.53869176e+00 
 1.11500000e-08 -1.53845710e+00 
 1.12500000e-08 -1.53816426e+00 
 1.13500000e-08 -1.53787200e+00 
 1.14500000e-08 -1.53758034e+00 
 1.15500000e-08 -1.53728932e+00 
 1.16500000e-08 -1.53699896e+00 
 1.17500000e-08 -1.53670930e+00 
 1.18500000e-08 -1.53642036e+00 
 1.19500000e-08 -1.53613215e+00 
 1.20000000e-08 -1.53598833e+00 
 1.20100000e-08 -1.53595959e+00 
 1.20300000e-08 -1.53590212e+00 
 1.20700000e-08 -1.53578729e+00 
 1.21500000e-08 -1.53555818e+00 
 1.22500000e-08 -1.53527382e+00 
 1.23500000e-08 -1.53499329e+00 
 1.24500000e-08 -1.53471811e+00 
 1.25500000e-08 -1.53444943e+00 
 1.26500000e-08 -1.53418820e+00 
 1.27500000e-08 -1.53393516e+00 
 1.28500000e-08 -1.53369089e+00 
 1.29500000e-08 -1.53345572e+00 
 1.30500000e-08 -1.53322970e+00 
