 time            v(Vout+)        v(Vout-)        v(Vout+)-v(Vout-)
 0.00000000e+00  1.34465161e-10  3.59206341e-05 -3.59204996e-05 
 5.00000000e-13  1.44522676e-10  3.59206441e-05 -3.59204996e-05 
 1.00000000e-12  1.43653055e-10  3.59206432e-05 -3.59204996e-05 
 2.00000000e-12  1.41129726e-10  3.59206407e-05 -3.59204996e-05 
 4.00000000e-12  1.37004153e-10  3.59206366e-05 -3.59204996e-05 
 8.00000000e-12  1.33496471e-10  3.59206331e-05 -3.59204996e-05 
 1.60000000e-11  1.32330894e-10  3.59206319e-05 -3.59204996e-05 
 3.20000000e-11  1.34062548e-10  3.59206337e-05 -3.59204996e-05 
 6.40000000e-11  1.34630984e-10  3.59206342e-05 -3.59204996e-05 
 1.14000000e-10  1.34533236e-10  3.59206341e-05 -3.59204996e-05 
 1.64000000e-10  1.34467506e-10  3.59206341e-05 -3.59204996e-05 
 2.14000000e-10  1.34521852e-10  3.59206341e-05 -3.59204996e-05 
 2.64000000e-10  1.34440961e-10  3.59206340e-05 -3.59204996e-05 
 3.14000000e-10  1.34514859e-10  3.59206341e-05 -3.59204996e-05 
 3.64000000e-10  1.34429093e-10  3.59206340e-05 -3.59204996e-05 
 4.14000000e-10  1.34500734e-10  3.59206341e-05 -3.59204996e-05 
 4.64000000e-10  1.34419815e-10  3.59206340e-05 -3.59204996e-05 
 5.14000000e-10  1.34493251e-10  3.59206341e-05 -3.59204996e-05 
 5.64000000e-10  1.34405369e-10  3.59206340e-05 -3.59204996e-05 
 6.14000000e-10  1.34486290e-10  3.59206341e-05 -3.59204996e-05 
 6.64000000e-10  1.34413842e-10  3.59206340e-05 -3.59204996e-05 
 7.14000000e-10  1.34473052e-10  3.59206341e-05 -3.59204996e-05 
 7.64000000e-10  1.34401317e-10  3.59206340e-05 -3.59204996e-05 
 8.14000000e-10  1.34468666e-10  3.59206341e-05 -3.59204996e-05 
 8.64000000e-10  1.34393707e-10  3.59206340e-05 -3.59204996e-05 
 9.14000000e-10  1.34452920e-10  3.59206340e-05 -3.59204996e-05 
 9.64000000e-10  1.34389268e-10  3.59206340e-05 -3.59204996e-05 
 1.00000000e-09  1.34472622e-10  3.59206341e-05 -3.59204996e-05 
 1.00500000e-09  9.84585783e-09  3.59303503e-05 -3.59205045e-05 
 1.01500000e-09 -9.41746408e-09  3.59110870e-05 -3.59205044e-05 
 1.03500000e-09  1.49417034e-09  3.59219905e-05 -3.59204964e-05 
 1.07500000e-09  1.31006718e-11  3.59205119e-05 -3.59204988e-05 
 1.12500000e-09  5.85711236e-10  3.59210853e-05 -3.59204996e-05 
 1.17500000e-09 -3.19843846e-10  3.59201798e-05 -3.59204996e-05 
 1.22500000e-09  5.82949345e-10  3.59210826e-05 -3.59204996e-05 
 1.27500000e-09 -2.57609327e-10  3.59202422e-05 -3.59204998e-05 
 1.32500000e-09  6.62295365e-10  3.59211624e-05 -3.59205001e-05 
 1.37500000e-09  3.11036843e-10  3.59208129e-05 -3.59205018e-05 
 1.42500000e-09  1.61890792e-09  3.59221249e-05 -3.59205060e-05 
 1.47500000e-09 -7.82029215e-10  3.59197253e-05 -3.59205074e-05 
 1.52500000e-09 -1.38231274e-08  3.59066473e-05 -3.59204704e-05 
 1.57500000e-09  3.04346386e-08  3.59509458e-05 -3.59205112e-05 
 1.62500000e-09 -2.71246071e-08  3.58933938e-05 -3.59205184e-05 
 1.67500000e-09  3.89362310e-08  3.59594835e-05 -3.59205472e-05 
 1.72500000e-09 -4.29995820e-08  3.58775366e-05 -3.59205362e-05 
 1.77500000e-09  7.87141671e-09  3.59283203e-05 -3.59204489e-05 
 1.82500000e-09 -2.08990703e-08  3.58995167e-05 -3.59204158e-05 
 1.87500000e-09 -2.96284891e-08  3.58906615e-05 -3.59202900e-05 
 1.92500000e-09 -9.42207338e-08  3.58257619e-05 -3.59199826e-05 
 1.97500000e-09 -3.26205662e-07  3.55927349e-05 -3.59189406e-05 
 2.00000000e-09 -4.80839341e-07  3.54371018e-05 -3.59179411e-05 
 2.00500000e-09 -4.97944826e-07  3.54197497e-05 -3.59176945e-05 
 2.01500000e-09 -3.79887947e-07  3.55373724e-05 -3.59172604e-05 
 2.03500000e-09  5.08634821e-07  3.64260256e-05 -3.59173908e-05 
 2.07500000e-09  5.66404458e-06  4.15936706e-05 -3.59296260e-05 
 2.12500000e-09  1.40413969e-05  5.00198036e-05 -3.59784067e-05 
 2.17500000e-09  1.39249670e-05  4.99725142e-05 -3.60475472e-05 
 2.22500000e-09  8.01394430e-06  4.41155344e-05 -3.61015901e-05 
 2.27500000e-09  4.58063663e-06  4.07132188e-05 -3.61325822e-05 
 2.32500000e-09  2.88694200e-06  3.90416831e-05 -3.61547411e-05 
 2.37500000e-09  2.21831782e-07  3.63996976e-05 -3.61778658e-05 
 2.42500000e-09 -2.44049114e-06  3.37667047e-05 -3.62071958e-05 
 2.47500000e-09 -6.00728997e-06  3.02378822e-05 -3.62451722e-05 
 2.52500000e-09 -9.09995290e-06  2.71932813e-05 -3.62932342e-05 
 2.57500000e-09 -1.40678337e-05  2.22879098e-05 -3.63557435e-05 
 2.62500000e-09 -2.61858507e-05  1.02702505e-05 -3.64561013e-05 
 2.67500000e-09 -8.29356172e-06  2.82447469e-05 -3.65383087e-05 
 2.72500000e-09 -3.76869748e-06  3.27932928e-05 -3.65619903e-05 
 2.77500000e-09  1.41474009e-06  3.79739505e-05 -3.65592104e-05 
 2.82500000e-09 -1.05416641e-06  3.54937848e-05 -3.65479512e-05 
 2.87500000e-09  1.81898760e-06  3.83533443e-05 -3.65343567e-05 
 2.92500000e-09 -9.38682092e-07  3.55808523e-05 -3.65195344e-05 
 2.97500000e-09  1.66336759e-06  3.81677349e-05 -3.65043673e-05 
 3.02500000e-09 -9.20682338e-07  3.55679708e-05 -3.64886532e-05 
 3.07500000e-09  1.51474698e-06  3.79876560e-05 -3.64729090e-05 
 3.12500000e-09 -8.90628568e-07  3.55662036e-05 -3.64568321e-05 
 3.17500000e-09  1.38701425e-06  3.78278780e-05 -3.64408638e-05 
 3.22500000e-09 -8.51443478e-07  3.55732371e-05 -3.64246805e-05 
 3.27500000e-09  1.27519896e-06  3.76838777e-05 -3.64086788e-05 
 3.32500000e-09 -8.07035052e-07  3.55854964e-05 -3.63925314e-05 
 3.37500000e-09  1.17571818e-06  3.75523211e-05 -3.63766029e-05 
 3.42500000e-09 -7.59852588e-07  3.56007178e-05 -3.63605704e-05 
 3.47500000e-09  1.08620667e-06  3.74309803e-05 -3.63447737e-05 
 3.52500000e-09 -7.11419713e-07  3.56174787e-05 -3.63288984e-05 
 3.57500000e-09  1.00503220e-06  3.73182961e-05 -3.63132639e-05 
 3.62500000e-09 -6.62705339e-07  3.56348613e-05 -3.62975666e-05 
 3.67500000e-09  9.31018982e-07  3.72131274e-05 -3.62821084e-05 
 3.72500000e-09 -6.14333128e-07  3.56522642e-05 -3.62665974e-05 
 3.77500000e-09  8.63284852e-07  3.71146046e-05 -3.62513197e-05 
 3.82500000e-09 -5.66704426e-07  3.56692914e-05 -3.62359958e-05 
 3.87500000e-09  8.01147462e-07  3.70220452e-05 -3.62208977e-05 
 3.92500000e-09 -5.20075914e-07  3.56856819e-05 -3.62057578e-05 
 3.97500000e-09  7.44059803e-07  3.69348948e-05 -3.61908350e-05 
 4.02500000e-09 -4.74610776e-07  3.57012629e-05 -3.61758736e-05 
 4.07500000e-09  6.91570182e-07  3.68526906e-05 -3.61611204e-05 
 4.12500000e-09 -4.30405552e-07  3.57159256e-05 -3.61463312e-05 
 4.17500000e-09  6.43297734e-07  3.67750387e-05 -3.61317410e-05 
 4.22500000e-09 -3.87513499e-07  3.57296035e-05 -3.61171170e-05 
 4.27500000e-09  5.98913094e-07  3.67015963e-05 -3.61026832e-05 
 4.32500000e-09 -3.45958074e-07  3.57422595e-05 -3.60882176e-05 
 4.37500000e-09  5.58126735e-07  3.66320604e-05 -3.60739337e-05 
 4.42500000e-09 -3.05742226e-07  3.57538775e-05 -3.60596197e-05 
 4.47500000e-09  5.20680695e-07  3.65661600e-05 -3.60454793e-05 
 4.52500000e-09 -2.66854626e-07  3.57644561e-05 -3.60313107e-05 
 4.57500000e-09  4.86342617e-07  3.65036505e-05 -3.60173079e-05 
 4.62500000e-09 -2.29273984e-07  3.57740046e-05 -3.60032785e-05 
 4.67500000e-09  4.54901400e-07  3.64443091e-05 -3.59894077e-05 
 4.72500000e-09 -1.92972104e-07  3.57825400e-05 -3.59755121e-05 
 4.77500000e-09  4.26164028e-07  3.63879319e-05 -3.59617679e-05 
 4.82500000e-09 -1.57915974e-07  3.57900848e-05 -3.59480008e-05 
 4.87500000e-09  3.99953065e-07  3.63343316e-05 -3.59343785e-05 
 4.92500000e-09 -1.24069299e-07  3.57966656e-05 -3.59207349e-05 
 4.97500000e-09  3.76104848e-07  3.62833348e-05 -3.59072300e-05 
 5.02500000e-09 -9.13936262e-08  3.58023118e-05 -3.58937055e-05 
 5.07500000e-09  3.54467877e-07  3.62347816e-05 -3.58803137e-05 
 5.12500000e-09 -5.98492221e-08  3.58070548e-05 -3.58669040e-05 
 5.17500000e-09  3.34901562e-07  3.61885231e-05 -3.58536215e-05 
 5.22500000e-09 -2.93956069e-08  3.58109271e-05 -3.58403227e-05 
 5.27500000e-09  3.17275219e-07  3.61444211e-05 -3.58271459e-05 
 5.32500000e-09  7.90810753e-12  3.58139623e-05 -3.58139544e-05 
 5.37500000e-09  3.01467093e-07  3.61023468e-05 -3.58008798e-05 
 5.42500000e-09  2.84018430e-08  3.58161939e-05 -3.57877921e-05 
 5.47500000e-09  2.87363639e-07  3.60621803e-05 -3.57748166e-05 
 5.52500000e-09  5.58263758e-08  3.58176561e-05 -3.57618297e-05 
 5.57500000e-09  2.74858839e-07  3.60238093e-05 -3.57489504e-05 
 5.62500000e-09  8.23209650e-08  3.58183822e-05 -3.57360612e-05 
 5.67500000e-09  2.63853518e-07  3.59871290e-05 -3.57232755e-05 
 5.72500000e-09  1.07924372e-07  3.58184056e-05 -3.57104813e-05 
 5.77500000e-09  2.54254922e-07  3.59520414e-05 -3.56977864e-05 
 5.82500000e-09  1.32674341e-07  3.58177590e-05 -3.56850846e-05 
 5.87500000e-09  2.45976147e-07  3.59184545e-05 -3.56724784e-05 
 5.92500000e-09  1.56607717e-07  3.58164743e-05 -3.56598665e-05 
 5.97500000e-09  2.38935752e-07  3.58862824e-05 -3.56473466e-05 
