 time            v(Vout+)        v(Vout-)        v(vout+)-v(vout-)
 0.00000000e+00  1.77595433e-10  4.56584001e-05 -4.56582225e-05 
 1.00000000e-12  1.87015225e-10  4.56584095e-05 -4.56582225e-05 
 2.00000000e-12  1.85236241e-10  4.56584077e-05 -4.56582225e-05 
 4.00000000e-12  1.81043824e-10  4.56584035e-05 -4.56582225e-05 
 8.00000000e-12  1.76413671e-10  4.56583989e-05 -4.56582225e-05 
 1.60000000e-11  1.75393852e-10  4.56583979e-05 -4.56582225e-05 
 3.20000000e-11  1.76965033e-10  4.56583994e-05 -4.56582225e-05 
 6.40000000e-11  1.77952675e-10  4.56584004e-05 -4.56582225e-05 
 1.28000000e-10  1.77467442e-10  4.56583999e-05 -4.56582225e-05 
 2.28000000e-10  1.77757965e-10  4.56584002e-05 -4.56582225e-05 
 3.28000000e-10  1.77437545e-10  4.56583999e-05 -4.56582225e-05 
 4.28000000e-10  1.77731050e-10  4.56584002e-05 -4.56582225e-05 
 5.28000000e-10  1.77451131e-10  4.56583999e-05 -4.56582225e-05 
 6.28000000e-10  1.77717155e-10  4.56584002e-05 -4.56582225e-05 
 7.28000000e-10  1.77463477e-10  4.56583999e-05 -4.56582225e-05 
 8.28000000e-10  1.77705158e-10  4.56584002e-05 -4.56582225e-05 
 9.28000000e-10  1.77456542e-10  4.56583999e-05 -4.56582225e-05 
 1.00000000e-09  1.77698243e-10  4.56584002e-05 -4.56582225e-05 
 1.01000000e-09  4.34117338e-09  4.56625664e-05 -4.56582252e-05 
 1.03000000e-09 -7.64616331e-09  4.56505766e-05 -4.56582228e-05 
 1.07000000e-09  5.95986880e-09  4.56641800e-05 -4.56582201e-05 
 1.15000000e-09 -4.15013377e-09  4.56540738e-05 -4.56582239e-05 
 1.25000000e-09  3.72272518e-09  4.56619441e-05 -4.56582214e-05 
 1.35000000e-09 -2.60917731e-09  4.56556147e-05 -4.56582239e-05 
 1.45000000e-09  3.62501502e-09  4.56618511e-05 -4.56582261e-05 
 1.55000000e-09 -6.91890610e-09  4.56512951e-05 -4.56582140e-05 
 1.65000000e-09  1.76723813e-08  4.56759208e-05 -4.56582484e-05 
 1.75000000e-09 -2.42775950e-08  4.56339477e-05 -4.56582253e-05 
 1.85000000e-09  8.33802748e-10  4.56589806e-05 -4.56581468e-05 
 1.95000000e-09 -1.31075199e-07  4.55266405e-05 -4.56577157e-05 
 2.00000000e-09 -4.77418564e-07  4.51792923e-05 -4.56567108e-05 
 2.01000000e-09 -3.62014536e-07  4.52944576e-05 -4.56564722e-05 
 2.03000000e-09  3.62056320e-07  4.60185299e-05 -4.56564736e-05 
 2.07000000e-09  5.01930055e-06  5.06828836e-05 -4.56635831e-05 
 2.15000000e-09  1.71487934e-05  6.28709023e-05 -4.57221088e-05 
 2.25000000e-09  6.40313108e-06  5.22026388e-05 -4.57995077e-05 
