 time            v(Vout+)        v(vout-)        v(vout+)-v(vout-)
 0.00000000e+00  3.55021860e-07  1.70064393e-01 -1.70064038e-01 
 1.00000000e-12  3.55066000e-07  1.70064393e-01 -1.70064038e-01 
 2.00000000e-12  3.55093269e-07  1.70064393e-01 -1.70064038e-01 
 4.00000000e-12  3.55130566e-07  1.70064393e-01 -1.70064038e-01 
 8.00000000e-12  3.55140065e-07  1.70064393e-01 -1.70064038e-01 
 1.60000000e-11  3.55079565e-07  1.70064393e-01 -1.70064038e-01 
 3.20000000e-11  3.54985289e-07  1.70064393e-01 -1.70064038e-01 
 6.40000000e-11  3.54966841e-07  1.70064393e-01 -1.70064038e-01 
 1.28000000e-10  3.54984227e-07  1.70064393e-01 -1.70064038e-01 
 2.28000000e-10  3.54974576e-07  1.70064393e-01 -1.70064038e-01 
 3.28000000e-10  3.54973604e-07  1.70064393e-01 -1.70064038e-01 
 4.28000000e-10  3.54964788e-07  1.70064393e-01 -1.70064038e-01 
 5.28000000e-10  3.54956571e-07  1.70064393e-01 -1.70064038e-01 
 6.28000000e-10  3.54944831e-07  1.70064392e-01 -1.70064038e-01 
 7.28000000e-10  3.54931958e-07  1.70064392e-01 -1.70064038e-01 
 8.28000000e-10  3.54919875e-07  1.70064392e-01 -1.70064038e-01 
 9.28000000e-10  3.54908479e-07  1.70064392e-01 -1.70064038e-01 
 1.00000000e-09  3.54903803e-07  1.70064392e-01 -1.70064038e-01 
 1.01000000e-09  5.78719160e-07  1.70064616e-01 -1.70064038e-01 
 1.03000000e-09  3.49931596e-07  1.70064387e-01 -1.70064038e-01 
 1.07000000e-09  1.62001249e-07  1.70064200e-01 -1.70064038e-01 
 1.15000000e-09  4.79471993e-07  1.70064517e-01 -1.70064038e-01 
 1.25000000e-09  2.68464677e-07  1.70064306e-01 -1.70064038e-01 
 1.35000000e-09  4.57995437e-07  1.70064496e-01 -1.70064038e-01 
 1.45000000e-09  5.83901919e-07  1.70064621e-01 -1.70064038e-01 
 1.55000000e-09 -3.41210295e-07  1.70063696e-01 -1.70064038e-01 
 1.65000000e-09  2.05349367e-06  1.70066091e-01 -1.70064038e-01 
 1.75000000e-09  6.93029805e-08  1.70064107e-01 -1.70064038e-01 
 1.85000000e-09 -6.31258547e-06  1.70057725e-01 -1.70064038e-01 
 1.95000000e-09 -3.36642294e-05  1.70030371e-01 -1.70064036e-01 
 2.00000000e-09 -9.25422437e-05  1.69971490e-01 -1.70064033e-01 
 2.01000000e-09 -9.67609372e-05  1.69967271e-01 -1.70064032e-01 
