 time            v(Vout+)        v(vout-)        v(vout+)-v(vout-)
 0.00000000e+00  1.34516555e-10  3.84335208e-05 -3.84333863e-05 
 1.00000000e-12  1.42546312e-10  3.84335289e-05 -3.84333863e-05 
 2.00000000e-12  1.40663018e-10  3.84335270e-05 -3.84333863e-05 
 4.00000000e-12  1.37107694e-10  3.84335234e-05 -3.84333863e-05 
 8.00000000e-12  1.33611959e-10  3.84335199e-05 -3.84333863e-05 
 1.60000000e-11  1.32714995e-10  3.84335190e-05 -3.84333863e-05 
 3.20000000e-11  1.34082975e-10  3.84335204e-05 -3.84333863e-05 
 6.40000000e-11  1.34757558e-10  3.84335211e-05 -3.84333863e-05 
 1.28000000e-10  1.34482813e-10  3.84335208e-05 -3.84333863e-05 
 2.28000000e-10  1.34601219e-10  3.84335209e-05 -3.84333863e-05 
 3.28000000e-10  1.34423618e-10  3.84335208e-05 -3.84333863e-05 
 4.28000000e-10  1.34562123e-10  3.84335209e-05 -3.84333863e-05 
 5.00000000e-10  1.34448499e-10  3.84335208e-05 -3.84333863e-05 
 5.10000000e-10  8.50756133e-09  3.84418994e-05 -3.84333919e-05 
 5.30000000e-10 -1.56394968e-08  3.84177475e-05 -3.84333870e-05 
 5.70000000e-10  1.19702259e-08  3.84453520e-05 -3.84333818e-05 
 6.50000000e-10 -8.77375970e-09  3.84246157e-05 -3.84333895e-05 
 7.50000000e-10  1.07424519e-08  3.84441376e-05 -3.84333951e-05 
 8.50000000e-10 -1.62929415e-08  3.84170829e-05 -3.84333758e-05 
 9.50000000e-10  4.17921426e-08  3.84752514e-05 -3.84334593e-05 
 1.00000000e-09 -3.86379654e-07  3.80465103e-05 -3.84328900e-05 
 1.01000000e-09 -3.47949738e-07  3.80847107e-05 -3.84326604e-05 
 1.03000000e-09 -5.61939856e-07  3.78701200e-05 -3.84320599e-05 
 1.07000000e-09 -1.15021659e-07  3.83161447e-05 -3.84311663e-05 
 1.15000000e-09  1.17766990e-05  5.02386508e-05 -3.84619517e-05 
 1.25000000e-09  1.42222863e-05  5.27698853e-05 -3.85475990e-05 
 1.35000000e-09 -1.44670763e-06  3.71474775e-05 -3.85941851e-05 
 1.45000000e-09  1.98297954e-06  4.06158862e-05 -3.86329067e-05 
 1.55000000e-09 -1.50633347e-05  2.36315692e-05 -3.86949039e-05 
 1.65000000e-09 -1.81263265e-05  2.06796788e-05 -3.88060053e-05 
 1.75000000e-09 -5.62081164e-06  3.32555269e-05 -3.88763385e-05 
 1.85000000e-09  7.86062710e-06  4.67145588e-05 -3.88539317e-05 
 1.95000000e-09 -6.70153283e-06  3.21308559e-05 -3.88323887e-05 
 2.05000000e-09  7.61218439e-06  4.64215220e-05 -3.88093377e-05 
 2.15000000e-09 -6.67601406e-06  3.21099566e-05 -3.87859706e-05 
