 time            v(Vout+)        v(vout-)        v(vout+)-v(vout-)
 0.00000000e+00  1.34516555e-10  3.84335208e-05 -3.84333863e-05 
 1.00000000e-12  1.42546312e-10  3.84335289e-05 -3.84333863e-05 
 2.00000000e-12  1.40663018e-10  3.84335270e-05 -3.84333863e-05 
 4.00000000e-12  1.37107694e-10  3.84335234e-05 -3.84333863e-05 
 8.00000000e-12  1.33611959e-10  3.84335199e-05 -3.84333863e-05 
 1.60000000e-11  1.32714995e-10  3.84335190e-05 -3.84333863e-05 
 3.20000000e-11  1.34082975e-10  3.84335204e-05 -3.84333863e-05 
 6.40000000e-11  1.34757558e-10  3.84335211e-05 -3.84333863e-05 
 1.28000000e-10  1.34482813e-10  3.84335208e-05 -3.84333863e-05 
 2.28000000e-10  1.34601219e-10  3.84335209e-05 -3.84333863e-05 
 3.28000000e-10  1.34423618e-10  3.84335208e-05 -3.84333863e-05 
 4.28000000e-10  1.34562123e-10  3.84335209e-05 -3.84333863e-05 
 5.28000000e-10  1.34431404e-10  3.84335208e-05 -3.84333863e-05 
 6.28000000e-10  1.34556419e-10  3.84335209e-05 -3.84333863e-05 
 7.28000000e-10  1.34442896e-10  3.84335208e-05 -3.84333863e-05 
 7.50000000e-10  1.34567261e-10  3.84335209e-05 -3.84333863e-05 
 7.60000000e-10  5.71545254e-09  3.84391055e-05 -3.84333900e-05 
 7.80000000e-10 -1.03935940e-08  3.84229931e-05 -3.84333867e-05 
 8.20000000e-10  8.01697678e-09  3.84414002e-05 -3.84333833e-05 
 9.00000000e-10 -5.84376195e-09  3.84275445e-05 -3.84333883e-05 
 1.00000000e-09  5.16431685e-09  3.84385495e-05 -3.84333852e-05 
 1.10000000e-09 -2.15700839e-09  3.84312372e-05 -3.84333942e-05 
 1.20000000e-09 -4.15309309e-09  3.84292194e-05 -3.84333724e-05 
 1.30000000e-09  2.38121207e-08  3.84572486e-05 -3.84334365e-05 
 1.40000000e-09 -8.46029019e-08  3.83486320e-05 -3.84332349e-05 
 1.50000000e-09 -3.72152724e-07  3.80595742e-05 -3.84317269e-05 
 1.51000000e-09 -2.53333047e-07  3.81782267e-05 -3.84315597e-05 
 1.53000000e-09  7.67240332e-07  3.91991395e-05 -3.84318992e-05 
 1.57000000e-09  5.79026233e-06  4.42308161e-05 -3.84405538e-05 
 1.65000000e-09  1.73597522e-05  5.58614024e-05 -3.85016501e-05 
 1.75000000e-09  5.03938198e-06  4.36146445e-05 -3.85752625e-05 
 1.85000000e-09  1.17445582e-06  3.97866077e-05 -3.86121519e-05 
 1.95000000e-09 -6.98437138e-06  3.16762097e-05 -3.86605811e-05 
 2.05000000e-09 -1.47029685e-05  2.40387397e-05 -3.87417081e-05 
 2.15000000e-09 -2.18174114e-05  1.70412080e-05 -3.88586194e-05 
